スクショ,投稿文,リプ,いいね,インプ,日時,URL,
,"美白とツヤ肌を同時に叶えたいなら朝ビタミンC生活早く始めてください。肌がくすむ原因は乾燥で肌のキメが乱れて光の反射が弱くなること。肌にビタミンCをいれることでキメが整ってつやんつやんな美白肌になれる。しかも紫外線ケアにもなるからまだ使ったことない人はすぐにビタミンC化粧水に変えてほしい。しかも…

私の美容クリニックでも高浸透ビタミンCは採用されてるし、私も使ってて肌ツヤ良くなった実感あるから患者さんにも勧めてる。市販で買えるもので1番効果があったものは、ドクターシーラボ！ベタベタしないから使い心地もいいし、クリニック級の成分配合で肌ツヤツヤになった😌ad今なら25%オフクーポン出てるよ！
a.r10.to/hUdEY…
【楽天市場】【25%OFFクーポン】★旧品★【公式ドクターシーラボ(Dr.Ci:Labo)】VC100エッセンスローションEX20 150mL 化粧水 ローション ビタミンc コラーゲン エイジングケア 化粧品 スキンケ

























",1,20,"8,894",2025/4/3 21:42:50,https://www.threads.com/@reika_biyou/post/DH_B2zIpSaz,
,"厳しいこと言うと、「私なんてもう年だし…」って思ったる時点で美肌なんてなれない。私のフォロワさんは40代の方が半分を占めてるけど、「ちょっとでも綺麗になりたい」その気持ちだけで美肌マインドは十分。その思考だけ忘れないでおけば、女性ホルモンだって活性化し続けるからね。1番の美容法はまっっっちがいなく、いつでもご機嫌でいること。








",0,14,"8,946",2025/5/12 10:20:36,https://www.threads.com/@reika_biyou/post/DJiOyINpREl,
,"仕事終わり帰宅して、スマホだらだらしてるともう21時！？ってなる事ない？そんな時も絶対メイクだけは落として寝るって決めてる。メイクしたまま寝ると、毛穴詰まるし皮脂酸化して黒ずむし乾燥も進むし、翌朝の肌終わる。肌荒れ・ニキビ・くすみの原因まるごと抱えて寝てるようなもん。しかも今日はいいやって甘えると習慣になっちゃうのが人間なんだよ。







",0,4,"8,977",2025/5/8 21:03:59,https://www.threads.com/@reika_biyou/post/DJZFO4Jv3Xu,
,"最近どのSNSでもセンテラってバズってるよね〜〜〜で、今日さっそくポチりましたჱ̒՞ ̳ᴗ ̫ ᴗ ̳՞꒱ここまで色んな人に紹介されると自分でも使ってみたくなるのが美容オタの本能よな〜〜〜クリニックの先輩も肌のキメまじ整うって大絶賛してたし期待しかない。

私と一緒にセンテラ始めてみたい人はどうぞ。
a.r10.to/hNv5K… pr
【楽天市場】【センテラ アンプル マダガスカル産CICA ベース美容液】 センテラアンプル マダガスカル産CICA 韓国 ベース美容液 敏感肌用 保湿 肌荒れ防止 自然由来成分 スキンケア 韓国


























",1,6,"8,996",2025/5/8 10:06:32,https://www.threads.com/@reika_biyou/post/DJX5_oIh_DE,
,"これから発信していく内容の参考にしたいので、お肌について悩んでいること(どういうことに興味があるか、どんな肌になりたいか等)があればこのリプで教えてほしいです。肌のこと、なんでもお待ちしています🙇‍♀️






",3,5,"9,035",2025/4/24 17:47:42,https://www.threads.com/@reika_biyou/post/DI0rpFlpjPz,
,"スキンケアを季節で使い分けるのも、スチーマーあててクレンジングするのも、ネイルオイル塗るのも、美容室に通うのも全部体力がないとできない。正直めんどくさい時もあるし、「今日くらい何もしないで寝ちゃお」ってズボラ思考になる時もある。でもやっぱり思うんだよね、綺麗な人って強い。努力してること表に出さなくても、ちゃんと自分と向き合ってる人って憧れる。私もそんな人になりたい。






",0,17,"9,061",2025/5/13 16:11:01,https://www.threads.com/@reika_biyou/post/DJlbrjRJdgO,
,"「プチプラ美容液1本だけ使うなら何？」って聞かれたらコレ一択。ウルセラシリーズ、マジで最強。成分豪華すぎて、あのLDKでも1位なの納得。ハイコスパなのに毛穴・シミ・くすみ・乾燥・ハリ・小ジワまで全部まとめてケアできるの神すぎん？同僚もシリーズで買いしてる人が多いんだけど、肌質別のおすすめは…

【シリーズ別おすすめ】
・ウルセラC → 透明感出したい、毛穴ケアしたい人
・CMAX → ガチでくすみ消したい人
・R/RNMAX → シワ・たるみ対策にガチりたい人
・スペクター → 毛穴詰まり＆角質オフしたい人
ちなみに私はウルセラCを使ってから小鼻の毛穴がマシになった！気になる人はここから👀pr
a.r10.to/hNGpH…

【楽天市場】ダーマレーザー 美容液 ウルセラR ウルセラC ウルセラCMAX ウルセラRNMAX スペクター 30ml レチノール ビタミンC ナイアシンアミド25%配合 高濃度 エイジングケア シミ くすみ 毛






















",1,13,"9,061",2025/3/29 22:24:56,https://www.threads.com/@reika_biyou/post/DHyOsy0JUzR,
,"今日も今日とてたくさんのフォロワーさんと話した🫶🏻少しでも美容モチベ上げられてたら嬉しいな〜〜〜
よくいただく質問は今度発売する美肌の教科書に載っけちゃお。





",0,3,"9,157",2025/5/30 12:12:31,https://www.threads.com/@reika_biyou/post/DKQx5l3JYVj,
,"最近フォロワーさんが増えてきて本当にうれしい〜！！はじめましての方も、ずっと見てくれてる方も、改めて私を見つけてくれてありがとう！！！毛穴やニキビ、肌ガチャ大ハズレの自分の肌に私も苦しんできた過去があるからこそ、みんなのこと全力で救いたいと思ってる！！みんなにDMとかコメントで「肌キレイになってきて嬉しい」って報告もらう度に本当にニヤニヤが止まらない。これからも美容の楽しさとか、本当に愛してやまないスキンケアとかどんどん発信していくね。今日の頑張りは数年後の自分の肌を変えるから。今日も一緒に頑張っていこう！！







",0,18,"9,283",2025/5/1 21:17:12,https://www.threads.com/@reika_biyou/post/DJHFLmBpPzZ,
,"【保存推奨】ツルツル卵肌になるための成分一覧
・ビタミンC誘導体：毛穴・くすみ・酸化皮脂に。朝使えば紫外線対策にもなる！
・ナイアシンアミド：シミ・毛穴・くすみに効く万能型。日焼け後の肌にも。
・レチノール：夜のターンオーバー整える守護神。毛穴ケアも◎
・AHA（フルーツ酸）：皮脂詰まりやゴワつきに。週1の角質ケアに最適。
・グリチルリチン酸2K：日焼け・汗あれ・赤ニキビに効く高抗炎症成分。
・トラネキサム酸：肝斑・色ムラ・色素沈着に。美白重視なら必須！
・アゼライン酸：皮脂・ニキビ・赤み・くすみ、全部に効くマルチプレイヤー！







",0,46,"9,443",2025/5/9 21:24:44,https://www.threads.com/@reika_biyou/post/DJbsZw1Jfoo,
,"ニキビ跡の種類まとめとく。ケア法はツリーに。

❤️赤ニキビ
表面は治ったけど内部ではまだ炎症が続いている状態。放置すると化膿して、色素沈着やクレーターに進行することも。

🤎茶色
色素沈着。ターンオーバーが乱れてメラニンが肌に残っている。紫外線や摩擦によって悪化。

💜紫色
色素沈着。炎症や化膿によって毛細血管が破壊されて出血。時間はかかるが徐々に薄くなる。

🌝クレーター
真皮にまでダメージがきてて肌が凹んでる。自然再生は難しい。

❤️赤いニキビ跡
→セルフケアで改善できる！！まだ炎症が残ってるので鎮静＆土台ケアに思考を全振り！！センテラの導入美容液はツボクサエキス配合でしっかり肌を整えて赤みを抑える効果ある！ニキビができにくい肌にもなる！
▫️rakuten pr センテラ公式
a.r10.to/hN38N…
【楽天市場】【マラソン限定★抽選で100%pバック】【センテラ アンプル マダガスカル産CICA ベース美容液】 センテラアンプル マダガスカル産CICA 韓国 ベース美容液 敏感肌用 保湿 肌荒

🤎💜色素沈着タイプ
→ メラニンが残ってる色素沈着系には、ターンオーバー促進＆美白成分が効く。この美容液は色素沈着撃退してくれて肌モチモチになる！
▫️rakuten pr メディキューブ公式
a.r10.to/hNcmd…
【楽天市場】＼P10倍16日1:59マデ／【medicube公式】PDRN ピンクアンプル 30ml（ メディキューブ medicube 韓国コスメ トラブル跡 サーモン ニキビ 弾力 トーニング 痕跡 メラニンケア コラーゲン

🌝クレータータイプはセルフケアで完治は難しい。本気で治すならクリニック通い推奨。










",3,9,"9,444",2025/5/13 19:55:31,https://www.threads.com/@reika_biyou/post/DJl1Xx6Js9h,
